Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low
20.0,20.0,,,,,69.0,75.0,12.0,15.0,,,,,63.0,52.0,8.0,3.0,,,,,66.0,55.0,10.0,7.0,,,,,39.0,61.0,10.0,12.0,,,,,57.0,68.0,15.0,11.0,,,,,80.0,70.0,7.0,7.0,,,,,55.0,54.0,8.0,8.0,,,,,62.0,74.0
14.0,16.0,,,,,70.0,58.0,14.0,3.0,,,,,45.0,34.0,2.0,9.0,,,,,38.0,46.0,10.0,6.0,,,,,41.0,39.0,10.0,11.0,,,,,40.0,44.0,7.0,14.0,,,,,62.0,82.0,7.0,9.0,,,,,32.0,40.0,4.0,7.0,,,,,32.0,32.0
27.0,33.0,,,,,88.0,79.0,10.0,14.0,,,,,40.0,39.0,5.0,6.0,,,,,27.0,43.0,9.0,8.0,,,,,29.0,35.0,8.0,6.0,,,,,43.0,36.0,27.0,35.0,,,,,97.0,97.0,10.0,8.0,,,,,40.0,30.0,13.0,7.0,,,,,33.0,35.0
15.0,17.0,,,,,43.0,50.0,12.0,12.0,,,,,39.0,50.0,10.0,5.0,,,,,39.0,35.0,8.0,6.0,,,,,36.0,36.0,15.0,10.0,,,,,43.0,33.0,24.0,17.0,,,,,52.0,45.0,7.0,9.0,,,,,26.0,38.0,8.0,5.0,,,,,35.0,25.0
18.0,19.0,,,,,46.0,45.0,11.0,12.0,,,,,34.0,43.0,6.0,9.0,,,,,32.0,33.0,15.0,14.0,,,,,31.0,42.0,10.0,8.0,,,,,40.0,39.0,26.0,12.0,,,,,49.0,42.0,7.0,13.0,,,,,31.0,35.0,10.0,15.0,,,,,36.0,57.0
22.0,15.0,,,,,40.0,37.0,19.0,7.0,,,,,41.0,40.0,16.0,10.0,,,,,52.0,38.0,10.0,17.0,,,,,41.0,36.0,8.0,6.0,,,,,32.0,27.0,14.0,15.0,,,,,40.0,36.0,10.0,22.0,,,,,49.0,55.0,15.0,15.0,,,,,46.0,46.0
17.0,21.0,,,,,39.0,40.0,28.0,31.0,,,,,62.0,54.0,16.0,16.0,,,,,50.0,44.0,31.0,33.0,,,,,63.0,63.0,33.0,28.0,,,,,62.0,68.0,24.0,22.0,,,,,47.0,51.0,31.0,26.0,,,,,77.0,68.0,26.0,33.0,,,,,73.0,73.0
17.0,22.0,,,,,46.0,43.0,19.0,19.0,,,,,48.0,42.0,15.0,20.0,,,,,45.0,40.0,15.0,16.0,,,,,32.0,37.0,27.0,12.0,,,,,55.0,35.0,28.0,20.0,,,,,49.0,55.0,14.0,14.0,,,,,47.0,35.0,11.0,18.0,,,,,28.0,39.0
25.0,18.0,,,,,54.0,41.0,18.0,25.0,,,,,34.0,42.0,19.0,15.0,,,,,33.0,40.0,20.0,17.0,,,,,46.0,27.0,21.0,16.0,,,,,39.0,45.0,18.0,24.0,,,,,38.0,53.0,20.0,16.0,,,,,41.0,55.0,30.0,22.0,,,,,68.0,78.0
29.0,20.0,,,,,48.0,39.0,15.0,20.0,,,,,32.0,35.0,17.0,16.0,,,,,38.0,45.0,20.0,12.0,,,,,43.0,29.0,13.0,13.0,,,,,29.0,26.0,19.0,19.0,,,,,39.0,50.0,15.0,14.0,,,,,44.0,51.0,19.0,20.0,,,,,57.0,51.0
